time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne18,X_ne18,Y_ne20,X_ne20
0.00000000e+00,2.00000000e-01,1.50000000e+04,3.67647059e-03,7.12941125e-01,7.12941125e-01,6.91377283e-02,2.76550913e-01,1.89972106e-04,2.27966527e-03,2.13235956e-06,2.77206743e-05,0.00000000e+00,0.00000000e+00,5.71014320e-05,7.99420047e-04,2.09931735e-07,3.14897603e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.62073936e-04,5.79318297e-03,1.37916336e-07,2.34457772e-06,7.25875455e-07,1.30657582e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.17611355e-05,1.43522271e-03
1.00000000e-09,2.00000000e-01,1.50000000e+04,3.68357509e-03,7.12941124e-01,7.12941124e-01,6.91377292e-02,2.76550917e-01,1.89972303e-04,2.27966764e-03,2.13235888e-06,2.77206655e-05,1.96074484e-11,2.54896829e-10,5.71014280e-05,7.99419992e-04,2.10332658e-07,3.15498988e-06,2.36770761e-19,3.31479066e-18,4.73939555e-12,7.10909332e-11,3.62073935e-04,5.79318296e-03,1.37916229e-07,2.34457589e-06,7.25253819e-07,1.30545687e-05,4.70726993e-13,8.00235889e-12,2.15128383e-16,3.87231089e-15,1.38260176e-23,2.48868317e-22,7.17611355e-05,1.43522271e-03
1.06553795e-09,2.00000000e-01,1.50000000e+04,3.68404013e-03,7.12941124e-01,7.12941124e-01,6.91377292e-02,2.76550917e-01,1.89972316e-04,2.27966779e-03,2.13235884e-06,2.77206649e-05,2.08924810e-11,2.71602253e-10,5.71014277e-05,7.99419988e-04,2.10358901e-07,3.15538352e-06,2.68822691e-19,3.76351768e-18,5.05000581e-12,7.57500871e-11,3.62073935e-04,5.79318296e-03,1.37916222e-07,2.34457577e-06,7.25213097e-07,1.30538357e-05,5.01577476e-13,8.52681709e-12,2.29227441e-16,4.12609394e-15,1.56976612e-23,2.82557901e-22,7.17611355e-05,1.43522271e-03
1.13537112e-09,2.00000000e-01,1.50000000e+04,3.68453556e-03,7.12941124e-01,7.12941124e-01,6.91377293e-02,2.76550917e-01,1.89972330e-04,2.27966796e-03,2.13235879e-06,2.77206643e-05,2.22617322e-11,2.89402519e-10,5.71014275e-05,7.99419985e-04,2.10386859e-07,3.15580289e-06,3.05213528e-19,4.27298940e-18,5.38097282e-12,8.07145923e-11,3.62073935e-04,5.79318296e-03,1.37916214e-07,2.34457564e-06,7.25169709e-07,1.30530548e-05,5.34449835e-13,9.08564720e-12,2.44250521e-16,4.39650938e-15,1.78226712e-23,3.20808081e-22,7.17611355e-05,1.43522271e-03
1.20978102e-09,2.00000000e-01,1.50000000e+04,3.68506338e-03,7.12941123e-01,7.12941123e-01,6.91377294e-02,2.76550917e-01,1.89972345e-04,2.27966814e-03,2.13235874e-06,2.77206636e-05,2.37207214e-11,3.08369378e-10,5.71014272e-05,7.99419981e-04,2.10416645e-07,3.15624967e-06,3.46530635e-19,4.85142890e-18,5.73363074e-12,8.60044611e-11,3.62073935e-04,5.79318296e-03,1.37916206e-07,2.34457550e-06,7.25123479e-07,1.30522226e-05,5.69476582e-13,9.68110190e-12,2.60258180e-16,4.68464725e-15,2.02353462e-23,3.64236232e-22,7.17611355e-05,1.43522271e-03
1.28906759e-09,2.00000000e-01,1.50000000e+04,3.68562569e-03,7.12941123e-01,7.12941123e-01,6.91377294e-02,2.76550918e-01,1.89972360e-04,2.27966832e-03,2.13235869e-06,2.77206629e-05,2.52753299e-11,3.28579288e-10,5.71014269e-05,7.99419976e-04,2.10448376e-07,3.15672565e-06,3.93440887e-19,5.50817242e-18,6.10940113e-12,9.16410169e-11,3.62073935e-04,5.79318296e-03,1.37916198e-07,2.34457536e-06,7.25074224e-07,1.30513360e-05,6.06798910e-13,1.03155815e-11,2.77314946e-16,4.99166903e-15,2.29746278e-23,4.13543300e-22,7.17611355e-05,1.43522271e-03
1.37355044e-09,2.00000000e-01,1.50000000e+04,3.68622474e-03,7.12941123e-01,7.12941123e-01,6.91377295e-02,2.76550918e-01,1.89972377e-04,2.27966853e-03,2.13235863e-06,2.77206622e-05,2.69318243e-11,3.50113716e-10,5.71014265e-05,7.99419971e-04,2.10482181e-07,3.15723272e-06,4.46701435e-19,6.25382009e-18,6.50979873e-12,9.76469810e-11,3.62073935e-04,5.79318296e-03,1.37916189e-07,2.34457520e-06,7.25021744e-07,1.30503914e-05,6.46567267e-13,1.09916435e-11,2.95489575e-16,5.31881235e-15,2.60847290e-23,4.69525121e-22,7.17611355e-05,1.43522271e-03
1.46357012e-09,2.00000000e-01,1.50000000e+04,3.68686292e-03,7.12941123e-01,7.12941123e-01,6.91377296e-02,2.76550918e-01,1.89972395e-04,2.27966874e-03,2.13235857e-06,2.77206614e-05,2.86968822e-11,3.73059469e-10,5.71014262e-05,7.99419966e-04,2.10518194e-07,3.15777291e-06,5.07171926e-19,7.10040696e-18,6.93643758e-12,1.04046564e-10,3.62073935e-04,5.79318296e-03,1.37916179e-07,2.34457504e-06,7.24965828e-07,1.30493849e-05,6.88941960e-13,1.17120133e-11,3.14855328e-16,5.66739590e-15,2.96158480e-23,5.33085264e-22,7.17611355e-05,1.43522271e-03
1.55948950e-09,2.00000000e-01,1.50000000e+04,3.68754277e-03,7.12941123e-01,7.12941123e-01,6.91377297e-02,2.76550919e-01,1.89972414e-04,2.27966897e-03,2.13235850e-06,2.77206605e-05,3.05776186e-11,3.97509041e-10,5.71014258e-05,7.99419961e-04,2.10556559e-07,3.15834839e-06,5.75828378e-19,8.06159729e-18,7.39103745e-12,1.10865562e-10,3.62073935e-04,5.79318296e-03,1.37916168e-07,2.34457486e-06,7.24906253e-07,1.30483126e-05,7.34093804e-13,1.24795947e-11,3.35490269e-16,6.03882484e-15,3.36249786e-23,6.05249615e-22,7.17611355e-05,1.43522271e-03
1.66169525e-09,2.00000000e-01,1.50000000e+04,3.68826702e-03,7.12941123e-01,7.12941123e-01,6.91377297e-02,2.76550919e-01,1.89972434e-04,2.27966921e-03,2.13235843e-06,2.77206596e-05,3.25816147e-11,4.23560991e-10,5.71014254e-05,7.99419956e-04,2.10597429e-07,3.15896143e-06,6.53778935e-19,9.15290509e-18,7.87543087e-12,1.18131463e-10,3.62073935e-04,5.79318296e-03,1.37916157e-07,2.34457468e-06,7.24842779e-07,1.30471700e-05,7.82204807e-13,1.32974817e-11,3.57477578e-16,6.43459640e-15,3.81768298e-23,6.87182936e-22,7.17611355e-05,1.43522271e-03
